CS_COMPANY_ID|BUSINESS_NAME|COMPANY_REGISTRATION_NUMBER|ADDRESS1|ADDRESS2|ADDRESS3|ADDRESS4|ADDRESS5|ADDRESS_TYPE
BE02617907|DORJO, CÉDRIC|508966720||||||1
BE02617907|DEC-ELEC|2215222256|Rue de la Chaussée|20||4910|Theux|0
BE02577406|LUDO FOOD SPRL|846637774|RUE DE NAMUR|72||1000|BRUXELLES|1
BE02577406|FOOD ART|2211410651|Rue de Namur|72||1000|Bruxelles|0
BE02602872|ROYAL INTERBUILD SRL|849821948|RUE DE WAUTIER|88 / 10||1020|BRUXELLES|1
BE02602872|Royal Interbuild|2214286108|Rue de Wautier|88||1020|Bruxelles|0
BE02593895|ARPA CONSTRUCT BV|848774249|IEPERSTRAAT|81||8700|TIELT|1
BE02593895|ARPA CONSTRUCT|2212740937|Ieperstraat|81||8700|Tielt|0
BE02536059|BAGHE CONSTRUCT SPRL|841228342|RUE SAINT-VINCENT|128||7060|SOIGNIES|1
BE02536059||2205374776|Rue Saint-Vincent|128||7060|Soignies|0
BE02618258|ENTIRUS GROUP BVBA|502300840|OMMEGANGSTRAAT|1M||8550|ZWEVEGEM|1
BE02618258|ENTIRUS GROUP|2216016963|Ommegangstraat(Z)|1m||8550|Zwevegem|0
BE02618258||2355723588|Kortrijkstraat(Z)|133A||8550|Zwevegem|0
BE02614611|LEVITHA SRL|508791328|RUE DE L'AMAZONE|35 / 0.5.||1060|SAINT-GILLES|1
BE02614611|LEVITHA|2216103867|Rue de l'Amazone|35||1060|Saint-Gilles|0
BE02623620|VERHEYEN PATRICK|502997260|NEERZIJSTRAAT|91||3600|GENK|1
BE02623620|Vepa|2217790083|Neerzijstraat|91||3600|Genk|0
BE02631913|METAL RACK MANAGEMENT BV|518993847|STEENWEG|80 / 1||3540|HERK-DE-STAD|1
BE02631913|METAL RACK MANAGEMENT|2217237777|Steenweg|80||3540|Herk-de-Stad|0
BE02579356|METISS'ART SRL|846988954|RUE FERRER|25||6224|FLEURUS|1
BE02579356|METISS'ART|2210486082|Rue Ferrer(WB)|25||6224|Fleurus|0
BE02613600|MIVI BELGIUM NV|508620191|PETRUS BASTELEUSSTRAAT|10||1600|SINT-PIETERS-LEEUW|1
BE02613600|Mivi Belgium|2216256295|Petrus Basteleusstraat|10||1600|Sint-Pieters-Leeuw|0
BE02630273|VAN DEN BOOGAARD, MARIA|518940793||||||1
BE02630273|Mirinda-Nails|2216818697|Venhoef|215||2320|Hoogstraten|0
BE02582606|VERNIBO BV|847203641|DONKERSTRAAT|37||2820|BONHEIDEN|1
BE02582606||2211338296|Donkerstraat|37||2820|Bonheiden|0
BE02613347|VAN NUFFEL, NIELS|508564070||||||1
BE02605753|DARYAD BV|500641546|LEUVENSESTEENWEG|318 / 2||2812|MECHELEN|1
BE02605753|LUKOIL|2264610993|Leuvensesteenweg(MZN)|240||2812|Mechelen|0
BE02605753|DARYAD|2213990752|Raghenoplein|15||2800|Mechelen|0
